label_combination,meme,person,politik,ort,text,fixations_total_per_participant_mean,fixations_total_per_participant_std,fixations_total_per_participant_count,fixations_first_third_per_participant_mean,fixations_first_third_per_participant_std,fixations_first_third_per_participant_count,fixations_last_third_per_participant_mean,fixations_last_third_per_participant_std,fixations_last_third_per_participant_count,view_time_mean_per_participant_ms_mean,view_time_mean_per_participant_ms_std,view_time_mean_per_participant_ms_count,fixation_duration_mean_ms_mean,fixation_duration_mean_ms_std,fixation_duration_mean_ms_count,fix_dur_mean_first_third_ms_mean,fix_dur_mean_first_third_ms_std,fix_dur_mean_first_third_ms_count,fix_dur_mean_last_third_ms_mean,fix_dur_mean_last_third_ms_std,fix_dur_mean_last_third_ms_count,scanpath_length_mean_px_mean,scanpath_length_mean_px_std,scanpath_length_mean_px_count,fixation_density_entropy_mean,fixation_density_entropy_std,fixation_density_entropy_count,pupil_mm_mean_mean,pupil_mm_mean_std,pupil_mm_mean_count
01000,0,1,0,0,0,25.471,2.78,47,8.98,0.93,47,8.273,0.988,47,9060.514,626.21,47,290.419,19.79,47,278.838,22.219,47,320.319,44.423,47,2876.406,399.895,47,4.124,0.2,47,3.817,0.216,47
00010,0,0,0,1,0,25.0,2.622,16,8.952,0.87,16,8.006,0.944,16,8887.43,580.263,16,291.45,21.389,16,272.644,20.872,16,353.706,52.59,16,2790.894,374.688,16,4.277,0.15,16,3.597,0.133,16
10001,1,0,0,0,1,34.029,8.108,16,12.166,2.289,16,10.77,2.923,16,9894.133,1748.289,16,225.044,22.128,16,208.881,21.669,16,253.219,44.174,16,3771.694,720.126,16,4.701,0.377,16,3.603,0.225,16
01100,0,1,1,0,0,25.327,3.486,13,8.907,1.247,13,8.281,1.222,13,9038.801,974.404,13,290.531,18.782,13,279.577,26.217,13,320.592,31.435,13,2988.7,504.484,13,4.035,0.272,13,3.747,0.192,13
01101,0,1,1,0,1,33.327,6.757,12,11.954,2.282,12,10.505,2.251,12,10513.881,1610.653,12,252.767,31.464,12,236.892,33.446,12,284.85,57.027,12,3314.783,665.715,12,4.573,0.397,12,3.633,0.12,12
10101,1,0,1,0,1,37.941,10.57,11,13.412,3.138,11,12.224,3.694,11,10963.735,2369.078,11,224.018,19.01,11,209.736,10.363,11,239.755,30.872,11,4410.636,688.669,11,4.827,0.502,11,3.51,0.229,11
10000,1,0,0,0,0,25.904,2.603,10,9.212,0.976,10,8.359,0.873,10,9119.133,620.215,10,281.03,17.557,10,267.96,19.162,10,306.23,34.117,10,3345.63,442.923,10,4.108,0.23,10,3.795,0.183,10
01001,0,1,0,0,1,27.839,4.979,10,9.796,1.776,10,8.898,1.585,10,9147.114,854.352,10,268.33,41.552,10,261.07,47.2,10,301.95,55.626,10,3084.27,646.876,10,4.321,0.344,10,3.683,0.127,10
00011,0,0,0,1,1,30.8,6.014,9,11.098,1.711,9,9.653,2.15,9,9486.122,1448.625,9,240.756,24.906,9,224.589,33.773,9,277.611,41.252,9,2755.167,692.32,9,4.616,0.276,9,3.602,0.193,9
00001,0,0,0,0,1,36.98,12.734,3,13.102,3.472,3,11.578,4.421,3,10256.639,2791.043,3,214.167,15.0,3,198.4,9.469,3,246.9,49.638,3,3679.067,901.027,3,4.936,0.468,3,3.503,0.212,3
00101,0,0,1,0,1,38.469,5.862,3,13.503,1.725,3,12.442,1.919,3,11149.973,988.675,3,229.833,18.053,3,217.433,6.146,3,238.8,19.809,3,3555.333,276.831,3,5.043,0.255,3,3.335,0.086,3
11101,1,1,1,0,1,27.429,7.475,2,10.531,2.713,2,8.153,2.439,2,8998.0,1545.822,2,261.8,42.144,2,223.35,31.891,2,319.45,73.893,2,3563.15,1959.322,2,4.313,0.243,2,3.667,0.4,2
