image_id,current_label,applied_label
001,meme,meme
002,meme,meme
003,meme,meme
004,meme,meme
005,meme,meme
006,meme,meme
007,meme,meme
008,meme,meme
009,meme,meme
010,meme,meme
011,ort text,ort text
012,ort text,ort text
013,ort text,ort text
014,ort,ort
015,ort (text),ort (text)
016,ort text,ort text
017,ort text,ort text
018,ort,ort
019,ort,ort
020,ort,ort
021,ort,ort
022,ort,ort
023,ort,ort
024,ort,ort
025,ort,ort
026,ort,ort
027,ort,ort
028,ort,ort
029,ort,ort
030,ort,ort
031,ort,ort
032,ort,ort
033,person (text),person (text)
034,person (text),person (text)
035,person,person
036,person,person
037,person,person
038,person,person
039,person,person
040,person,person
041,person,person
042,person,person
043,person,person
044,person,person
045,person,person
046,person,person
047,person,person
048,person,person
049,person,person
050,person,person
051,person,person
052,person,person
053,person,person
054,person,person
055,person,person
056,person,person
057,person,person
058,person,person
059,person,person
060,person,person
061,person,person
062,person,person
063,person,person
064,person,person
065,person,person
066,person,person
067,person,person
068,person,person
069,person,person
070,person,person
071,person,person
072,person,person
073,person,person
074,person (text),person (text)
075,person,person
076,person (text),person (text)
077,person,person
078,person,person
079,person,person
080,person,person
081,person,person
082,person (text),person (text)
083,person,person
084,person (text),person (text)
085,person (text),person (text)
086,person,person
087,person (text),person (text)
088,person text politik,person text politik
089,person politik,person politik
090,person politik,person politik
091,person politik,person politik
092,person politik (text),person politik (text)
093,person politik,person politik
094,person politik,person politik
095,person politik,person politik
096,person politik,person politik
097,person politik,person politik
098,person politik,person politik
099,person politik text,person politik text
100,person politik text,person politik text
101,person politik,person politik
102,person politik (text),person politik (text)
103,politik person,politik person
104,politik person,politik person
105,politik person,politik person
106,meme text (politik),meme text (politik)
107,politik person text meme,politik person text meme
108,meme text,meme text
109,meme text politik,meme text politik
110,meme text,meme text
111,meme text,meme text
112,meme text,meme text
113,meme text,meme text
114,meme text,meme text
115,meme text,meme text
116,meme text politik,meme text politik
117,meme text politik,meme text politik
118,meme text,meme text
119,meme text,meme text
120,meme text,meme text
121,meme text,meme text
122,meme text politik,meme text politik
123,meme text politik,meme text politik
124,meme text politik,meme text politik
125,text meme,text meme
126,text politik,text politik
127,text politik,text politik
128,text (ort),text (ort)
129,text (ort),text (ort)
130,text (ort),text (ort)
131,text person (politik),text person (politik)
132,text person,text person
133,text person,text person
134,text politik (person),text politik (person)
135,text person politik (meme),text person politik (meme)
136,text person politik,text person politik
137,text person politik,text person politik
138,text person politik,text person politik
139,text person politik,text person politik
140,text person politik,text person politik
141,text meme politik,text meme politik
142,text,text
143,text,text
144,text,text
146,text politik,text politik
147,text meme,text meme
148,text meme,text meme
149,text meme,text meme
150,text meme,text meme
151,text meme (politik),text meme (politik)
152,text meme (politik),text meme (politik)
153,text meme (politik),text meme (politik)
